项目名称,项目简介,主要产品,业主方,所在地,行业,大类
岐山县2014年度抗旱应急水源水厂工程,"['该项目位于陕西省宝鸡市岐山县，由岐山县抗旱应急水源工程项目建设办公室投资建设，建设内容：一、新建净水厂1座（建混合气井1眼、D型滤池1座、絮凝沉淀池1座、200立方米前池2座、地上泵房56.16平方米、地下泵站 56.16平方米、配电室56.16平方米、二层综合楼464平方米、加药间48.6平方米、加氯间48.6平方米、污泥脱水间48.6平方米、机修间 32.4平方米、仓库32.4平方米、化验室设备1套、门房24平方米、大门1座、架空线路500米、250KVA变压器1台）；新建浮筒式泵站1座配套250QJ125-48/3水泵3台、自动化信息监控系统1套。二、铺设输水管道17.16公里，（其中DN250输水管道6.4公里，支管线10.76公里）；新建三级加压泵站（建400T矩形钢筋砼蓄水池1座、管理房123.18平方米、生产房136.28平方米、围墙114米、透视围墙72米、砼路面756平方米、院内绿化963平方米、10千伏架空线路500米、配套安装水泵6台、160千伏安变压器1台）。', '项目总投资1500万元。']",新建净水厂1座，新建浮筒式泵站1座配套250QJ125-48/3水泵3台、自动化信息监控系统1套；铺设输水管道17.16公里。,['岐山县抗旱应急水源工程项目建设办公室'],陕西省宝鸡市岐山县,市政公用,其他
乾县LNG加气站项目,"['该项目位于陕西省咸阳市乾县312国道西侧阳峪村附近，由陕西浩海能源科技有限责任公司三原分公司投资建设，建设内容包括设置1台60立方米LNG立式低温储灌， 1台LNG低温泵橇、BOG加热泵橇1套、LNG加气站机2台等。', '项目总投资1200万元。']",建设内容包括设置1台60立方米LNG立式低温储灌， 1台LNG低温泵橇、BOG加热泵橇1套、LNG加气站机2台等。,['陕西浩海能源科技有限责任公司三原分公司'],陕西省咸阳市乾县312国道西侧阳峪村附近,能源矿产,能源矿产
彬县太峪液化天然气（LNG）加气站项目,"['该项目位于陕西省咸阳市彬县太峪镇南庄村312国道西侧，由彬县浩海能源科技有限责任公司投资建设，立式LNG储罐1台（容积为60立方米），1台潜液泵橇（包含两台潜液泵，1台EAG加热器），1台储罐/卸车增压气化器，1台BOG加热橇，4台加气机。', '项目总投资1200万元。']",立式LNG储罐1台（容积为60立方米），1台潜液泵橇（包含两台潜液泵，1台EAG加热器），1台储罐/卸车增压气化器，1台BOG加热橇，4台加气机。,['彬县浩海能源科技有限责任公司'],陕西省咸阳市彬县太峪镇南庄村312国道西侧,能源矿产,能源矿产
西安绿地中心B座项目,"['该项目位于陕西省西安市高新区锦业路与丈八二路交汇处，由绿地集团西安置业有限公司投资建设，总建筑面积为160385平方米。本工程地下三层，地上五十七层，檐口高度为248.5米，地下建筑面积34140平方米，地上建筑面积126245平方米，总建筑面积为160385平方米。', '项目总投资17亿元。']",总建筑面积为160385平方米。,['绿地集团西安置业有限公司'],陕西省西安市高新区锦业路与丈八二路交汇处,建筑,建筑
三原县液化天然气（LNG）加气站项目,"['该项目位于陕西省咸阳市三原县城关镇寇家村关中环线以南，由陕西浩海能源科技有限责任公司三原分公司投资建设，立式LNG储罐1台（容积为60立方米），LNG低温泵撬1套（含EAG加热器），BOG 加热撬一套（含空温式汽化器、水浴式复热器和调压设备），LNG加气机4台。', '项目总投资1195.99万元。']",立式LNG储罐1台（容积为60立方米），LNG低温泵撬1套（含EAG加热器），BOG 加热撬一套（含空温式汽化器、水浴式复热器和调压设备），LNG加气机4台。,['陕西浩海能源科技有限责任公司三原分公司'],陕西省咸阳市三原县城关镇寇家村关中环线以南,能源矿产,能源矿产
渭南至潼关输气管道工程,"['该项目位于陕西省渭南-华阴-潼关，由陕西省天然气股份有限公司投资建设，拟建设渭南至潼关输气管道工程，管道长度、设计压力、设计年输气量等暂未定。', '项目总投资40000万元。']",拟建设渭南至潼关输气管道工程。,['陕西省天然气股份有限公司'],陕西省渭南-华阴-潼关,能源矿产,能源矿产
韩城市城市供水渠道改造工程,"['该项目位于陕西省渭南市韩城市，建设内容包括：改造加固明渠483.5米、渠系建筑物6处，改造加固6座隧洞1555.1米、盖板涵327.8米、明拱166.7米，改造备用抽水泵站1处；铺设DN1000管道644.7米，新建3000米调蓄池1座。项目的设计由陕西金水桥设计工程有限责任公司负责。', '项目总投资2030.59万元。']",改造加固明渠483.5米、渠系建筑物6处，改造加固6座隧洞1555.1米、盖板涵327.8米、明拱166.7米，改造备用抽水泵站1处；铺设DN1000管道644.7米，新建3000米调蓄池1座。,['韩城市水务投资建设有限公司'],陕西省渭南市韩城市,"市政公用,农林水利",其他
三原绿源LNG加气站工程,"['该项目位于陕西省咸阳市三原县城关镇土官村关中环线南侧，由咸阳伟权工贸有限责任公司投资建设，占地面积1590平方米，绿化面积174平方米。新建加气区、贮存区及控制室、配电室，办公营业楼等均依托原有设施。该项目设计日供气能力为20000标准立方米/天。', '项目总投资1137.55万元。']",占地面积1590平方米，绿化面积174平方米。新建加气区、贮存区及控制室、配电室，办公营业楼等均依托原有设施。该项目设计日供气能力为20000标准立方米/天。,['咸阳伟权工贸有限责任公司'],陕西省咸阳市三原县城关镇土官村关中环线南侧,"能源矿产,建筑",建筑
【VIP】西安市江村沟垃圾填埋场四期（改扩建）工程,"['该项目位于陕西省西安市东郊灞桥区狄寨塬江村西安市江村沟垃圾填埋场所在地，总占地1000亩，日处理垃圾规模为6850吨，使用年限为77个月，主要建设工程包括：场内道路、垃圾填埋库区雨污分流及导排系统、填埋库区防渗系统、垃圾堆体及边坡稳定性整治、生态恢复、场区水体及气体监测、场区附属工程建设等内容。', '项目总投资2.1亿元。', '项目进展情况：', '（1）前期工作情况：从业主处获悉，截至目前，该项目前期可研、环评手续正在办理。', '（2）设计工作情况：目前，项目初步设计正在进行，项目的勘察由浙江大学建筑设计研究院负责；项目的初步设计由中国城市建设研究院负责。', '（3）土建施工情况：土建工程暂未开展，计划15年下半年对施工单位招标。', '（4）设备采购情况：所需设备尚未采购，采购时间暂未定。']",总占地1000亩，日处理垃圾6850吨 。,['西安市固体废弃物管理处'],陕西省西安市东郊灞桥区狄寨塬江村西安市江村沟垃圾填埋场所在地,环保,其他
世博园婚庆产业基地项目,"['该项目位于陕西省西安市世博园得宝门广场南侧，东临世博大道，由西安世博园运营管理有限公司投资建设，用地面积约42.6亩。总建筑面积约5万平米，地下一层，地上局部三层。其中地上部分约3万平方米，主要包括婚纱摄影旗舰店、婚庆服务中心、配套商业等功能，地下建筑面积约2万平方米，主要为停车场和设备用房等功能。', '项目总投资25000万元。']",总建筑面积约5万平米。,['西安世博园运营管理有限公司'],陕西省西安市世博园得宝门广场南侧，东临世博大道,建筑,建筑
【VIP】榆阳区方家畔煤矿煤炭资源整合项目,"['该项目位于陕西省榆林市榆阳区城东北约70千米处，由榆阳区方家畔煤矿投资建设，设计生产能力120万吨/年，同时配套建设120万吨/年选煤厂。整合后矿井将位于井田中部小河岔村的红柳沟南岸的原副井场地改造为主井场地，将原主井场地废弃，在红柳沟北岸新建副井场地，并在场地内布置选煤系统，风井场地位于副井工业场地东北方向约1.0千米处，本矿井矸石全部回填井下，不设地面排矸场。整合区面积约32.6987平方千米，设计可采储量6080.4万吨，服务年限39.6年（井工开采24.0年，露天开采15.6年）。本项目为煤炭资源整合项目，井田开拓分为井工采区与露天采区两部分。井工开采3-1煤层，将井田划分为2个盘区，北翼开采区为301盘区，南翼开采区为302盘区，采用3斜井单水平开拓，水平标高+1074.0米，先开采井田北翼301盘区，后期开采南翼302盘区，采煤方法选用长壁综采、垮落法管理顶板，矿井通风方式为中央并列抽出式；露天开采2-2煤层，为南北两部分开采，南部为首采区，北部为二采区，在紧邻首采区区东侧设露天开采工业场地，东北约0.5千米处设外排土场，剥离与采煤均采用单斗卡车工艺，开采原煤采用汽车运至本矿选煤厂进行破碎、筛选、加工。方家畔煤矿采用重介浅槽工艺对原煤进行洗选，压滤机回收煤泥，末煤不入洗，入洗上下限为13毫米～120毫米，最终分为0～13毫米、13毫米～30毫米、30毫米～120毫米三级产品，由胶带输送机分别运至产品仓储存。', '项目总投资101553.9万元。', '项目跟踪情况：', '（1）前期工作情况：该项目正在办理前期环评、安评手续。', '（2）设计工作情况：截至目前（2015年03月06日）：该项目正在做设计，设计由中煤科工集团西安研究院负责。', '（3）土建施工情况：该项目尚未开始主体施工。', '（4）设备采购情况：该项目设备尚未开始采购，具体看前期手续办理情况而定。']",设计生产能力120万吨/年，同时配套建设120万吨/年选煤厂。,['榆阳区方家畔煤矿'],陕西省榆林市榆阳区城东北约70千米处,能源矿产,能源矿产
华能郝滩、大唐油房庄风电330千伏送出工程,"['该项目位于陕西省榆林市定边县，由陕西省电力公司投资建设，本期定边330kV变电站扩建1回330kV出线间隔，扩建工程在原有围墙内预留场地进行，不需新征用地。新建郝滩风电升压站-油房庄风电升压站330kV同塔双回路架空线路2×34.7km；新建油房庄风电升压站-定边变330kV单回架空路线路21.5km。', '项目总投资10300万元。']",定边330kV变电站扩建1回330kV出线间隔。,['陕西省电力公司'],陕西省榆林市定边县,电力,电力
